Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A
04/01/2025,Aston Villa,Leicester,2,1,H,1.33,5.5,8.5
04/01/2025,Bournemouth,Everton,1,0,H,1.73,3.75,4.75
04/01/2025,Crystal Palace,Chelsea,1,1,D,3.8,3.75,1.91
04/01/2025,Man City,West Ham,4,1,H,1.3,6.25,7.5
04/01/2025,Southampton,Brentford,0,5,A,3.0,3.4,2.4
04/01/2025,Brighton,Arsenal,1,1,D,4.33,3.75,1.8
05/01/2025,Fulham,Ipswich,2,2,D,1.55,4.2,5.75
05/01/2025,Liverpool,Man United,2,2,D,1.29,6.25,8.0
06/01/2025,Wolves,Nott'm Forest,0,3,A,3.3,3.2,2.3
14/01/2025,Brentford,Man City,2,2,D,4.75,4.2,1.62
14/01/2025,Chelsea,Bournemouth,2,2,D,1.48,4.75,6.0
14/01/2025,West Ham,Fulham,3,2,H,3.0,3.4,2.38
14/01/2025,Nott'm Forest,Liverpool,1,1,D,5.25,4.1,1.62
15/01/2025,Everton,Aston Villa,0,1,A,3.25,3.2,2.3
15/01/2025,Leicester,Crystal Palace,0,2,A,3.9,3.6,1.91
15/01/2025,Newcastle,Wolves,3,0,H,1.36,5.5,8.0
15/01/2025,Arsenal,Tottenham,2,1,H,1.4,5.25,7.0
16/01/2025,Ipswich,Brighton,0,2,A,3.9,3.7,1.91
16/01/2025,Man United,Southampton,3,1,H,1.29,6.0,9.5
18/01/2025,Newcastle,Bournemouth,1,4,A,1.62,4.2,5.0
18/01/2025,Brentford,Liverpool,0,2,A,6.5,5.0,1.42
18/01/2025,Leicester,Fulham,0,2,A,4.33,3.7,1.8
18/01/2025,West Ham,Crystal Palace,0,2,A,2.6,3.5,2.63
18/01/2025,Arsenal,Aston Villa,2,2,D,1.5,4.1,7.0
19/01/2025,Everton,Tottenham,3,2,H,2.8,3.5,2.45
19/01/2025,Man United,Brighton,1,3,A,2.1,3.6,3.3
19/01/2025,Nott'm Forest,Southampton,3,2,H,1.38,4.75,8.0
19/01/2025,Ipswich,Man City,0,6,A,7.5,5.25,1.36
20/01/2025,Chelsea,Wolves,3,1,H,1.36,5.75,6.5
25/01/2025,Bournemouth,Nott'm Forest,5,0,H,2.05,3.7,3.4
25/01/2025,Brighton,Everton,0,1,A,1.67,3.75,5.5
25/01/2025,Liverpool,Ipswich,4,1,H,1.08,12.0,15.0
25/01/2025,Southampton,Newcastle,1,3,A,6.5,5.25,1.42
25/01/2025,Wolves,Arsenal,0,1,A,7.0,4.5,1.45
25/01/2025,Man City,Chelsea,3,1,H,2.05,4.0,3.3
26/01/2025,Crystal Palace,Brentford,1,2,A,2.05,3.75,3.3
26/01/2025,Tottenham,Leicester,1,2,A,1.45,5.5,5.5
26/01/2025,Aston Villa,West Ham,1,1,D,1.53,4.33,5.75
26/01/2025,Fulham,Man United,0,1,A,2.3,3.4,3.1
01/02/2025,Nott'm Forest,Brighton,7,0,H,2.38,3.5,2.8
01/02/2025,Bournemouth,Liverpool,0,2,A,4.5,4.33,1.67
01/02/2025,Everton,Leicester,4,0,H,1.75,3.75,4.5
